,timestamp,open,high,low,close,adjusted close,volume,dividend amount,Symbol
178,2009-10-30,44.8,46.45,43.46,44.91,12.4129,34661900,0.0,AZN
179,2009-09-30,46.58,46.97,43.84,44.95,12.4239,36505700,0.0,AZN
180,2009-08-31,47.15,47.5,44.94,46.63,12.8883,25683200,0.59,AZN
181,2009-07-31,44.44,47.61,42.72,46.44,12.6757,30237400,0.0,AZN
182,2009-06-30,42.28,45.22,40.06,44.14,12.048,27344300,0.0,AZN
183,2009-05-29,34.59,41.98,34.39,41.72,11.3874,38447600,0.0,AZN
184,2009-04-30,34.59,36.87,33.13,34.97,9.545,35224700,0.0,AZN
185,2009-03-31,31.93,35.74,29.96,35.45,9.676,41983300,0.0,AZN
186,2009-02-27,37.61,40.35,31.46,31.59,8.6225,25026900,1.5,AZN
187,2009-01-30,40.23,42.04,37.29,38.53,10.1142,30132000,0.0,AZN
188,2008-12-31,37.02,41.68,35.1,41.03,10.7704,28144300,0.0,AZN
189,2008-11-28,42.7,44.58,32.58,37.73,9.9042,39821900,0.0,AZN
190,2008-10-31,44.67,45.61,34.77,42.46,11.1458,49892800,0.0,AZN
191,2008-09-30,49.41,49.57,42.7,43.88,11.5186,36172900,0.0,AZN
192,2008-08-29,48.48,49.85,47.34,48.7,12.7838,37177400,0.55,AZN
193,2008-07-31,42.02,49.17,41.98,48.55,12.6041,56328900,0.0,AZN
194,2008-06-30,43.25,43.4,40.69,42.53,11.0412,20678000,0.0,AZN
195,2008-05-30,41.45,45.27,40.28,43.69,11.3424,26577600,0.0,AZN
196,2008-04-30,39.39,42.64,39.22,41.98,10.8984,45682500,0.0,AZN
197,2008-03-31,37.4,38.87,35.03,37.99,9.8626,40750900,0.0,AZN
198,2008-02-29,40.88,41.89,37.4433,37.63,9.7691,38812100,1.35,AZN
199,2008-01-31,42.87,46.84,40.11,42.1,10.5614,43431700,0.0,AZN
200,2007-12-31,47.54,47.67,42.21,42.82,10.742,18927800,0.0,AZN
201,2007-11-30,48.54,48.85,43.05,47.38,11.8859,26087400,0.0,AZN
202,2007-10-31,50.56,52.97,48.2,49.1,12.3174,27518500,0.0,AZN
203,2007-09-28,48.9,50.14,46.812,50.07,12.5607,17742100,0.0,AZN
204,2007-08-31,51.34,52.11,44.76,49.2,12.3425,29141800,0.52,AZN
205,2007-07-31,53.9,56.6,51.25,51.83,12.8711,22890800,0.0,AZN
206,2007-06-29,52.98,53.85,50.51,53.48,13.2809,27064000,0.0,AZN
207,2007-05-31,54.34,54.44,52.68,53.18,13.2064,24439700,0.0,AZN
208,2007-04-30,53.79,59.47,53.46,54.31,13.487,28621800,0.0,AZN
209,2007-03-30,54.9,57.12,53.27,53.65,13.3231,30037100,0.0,AZN
210,2007-02-28,57.6,58.85,55.44,56.13,13.939,20508000,1.23,AZN
211,2007-01-31,54.24,57.55,53.67,55.95,13.6057,28411200,0.0,AZN
212,2006-12-29,57.34,57.78,53.05,53.55,13.0221,30862600,0.0,AZN
213,2006-11-30,60.33,61.75,56.16,57.89,14.0775,33397100,0.0,AZN
214,2006-10-31,62.89,66.49,58.68,58.7,14.2745,32926000,0.0,AZN
215,2006-09-29,65.19,65.52,61.13,62.5,15.1985,21172100,0.0,AZN
216,2006-08-31,60.88,65.24,59.79,65.14,15.8405,24192300,0.49,AZN
217,2006-07-31,60.09,62.1,56.2,61.03,14.7221,22141200,0.0,AZN
218,2006-06-30,52.73,60.44,51.82,59.82,14.4302,28068700,0.0,AZN
219,2006-05-31,55.02,56.35,51.84,52.94,12.7706,26284900,0.0,AZN
220,2006-04-28,50.37,55.5,50.22,55.13,13.2989,19677400,0.0,AZN
221,2006-03-31,46.49,51.81,45.64,50.23,12.1169,31324000,0.0,AZN
222,2006-02-28,48.7,49.1,44.9,46.25,11.1568,18027300,0.92,AZN
223,2006-01-31,49.6,51.5,46.45,48.64,11.5048,22280500,0.0,AZN
224,2005-12-30,46.47,50.13,46.47,48.6,11.4954,17480000,0.0,AZN
225,2005-11-30,44.78,46.5,44.12,46.05,10.8922,24271700,0.0,AZN
226,2005-10-31,47.06,49.06,43.92,44.9,10.6202,20844500,0.0,AZN
227,2005-09-30,46.67,49.39,46.43,47.1,11.1406,16997700,0.0,AZN
228,2005-08-31,45.46,47.55,44.89,46.12,10.9088,19156400,0.38,AZN
229,2005-07-29,41.44,45.57,40.05,45.44,10.6607,21314700,0.0,AZN
230,2005-06-30,42.44,42.94,40.67,41.26,9.6801,14292500,0.0,AZN
231,2005-05-31,43.63,45.22,42.3,42.52,9.9757,18356000,0.0,AZN
232,2005-04-29,39.83,44.21,38.96,43.95,10.3112,20786600,0.0,AZN
233,2005-03-31,39.91,42.51,38.85,39.53,9.2742,23894100,0.0,AZN
234,2005-02-28,37.92,41.75,37.89,39.74,9.3235,18352300,0.645,AZN
235,2005-01-31,36.4,37.96,34.72,37.6,8.6789,24233600,0.0,AZN
236,2004-12-31,39.91,41.4,35.61,36.39,8.3996,36933700,0.0,AZN
237,2004-11-30,41.09,44.26,39.13,39.39,9.092,41523600,0.0,AZN
238,2004-10-29,41.08,41.4,37.96,41.2,9.5098,32467900,0.0,AZN
239,2004-09-30,45.91,47.15,40.99,41.13,9.4937,52215100,0.0,AZN
240,2004-08-31,45.06,46.65,43.45,46.53,10.7401,23084600,0.295,AZN
241,2004-07-30,45.51,45.84,42.91,44.92,10.2993,30647800,0.0,AZN
242,2004-06-30,46.91,48.75,45.18,45.64,10.4644,19590200,0.0,AZN
243,2004-05-28,47.74,49.51,45.96,46.9,10.7533,18917000,0.0,AZN
244,2004-04-30,46.73,48.96,45.8,47.85,10.9711,22855300,0.0,AZN
245,2004-03-31,48.98,51.2,45.98,46.73,10.7143,28863100,0.0,AZN
246,2004-02-27,48.6,50.51,47.74,48.62,11.1476,15189700,0.54,AZN
247,2004-01-30,48.9,50.54,46.07,48.27,10.9454,24653700,0.0,AZN
248,2003-12-31,45.93,48.85,45.1,48.38,10.9703,21610400,0.0,AZN
249,2003-11-28,47.85,48.79,45.09,45.95,10.4193,38973600,0.0,AZN
250,2003-10-31,43.35,49.48,40.63,47.68,10.8116,35344600,0.0,AZN
251,2003-09-30,39.8,44.09,39.46,43.4,9.8411,24959000,0.0,AZN
252,2003-08-29,40.15,42.83,38.24,39.65,8.9908,28061400,0.255,AZN
253,2003-07-31,40.27,43.0,38.73,40.22,9.0631,42662000,0.0,AZN
254,2003-06-30,41.24,46.08,40.63,40.77,9.187,26281900,0.0,AZN
255,2003-05-30,39.87,44.05,39.85,41.24,9.2929,45062300,0.0,AZN
256,2003-04-30,34.66,40.09,34.1,39.87,8.9842,30322800,0.0,AZN
257,2003-03-31,33.07,36.04,29.41,34.31,7.7313,20775000,0.0,AZN
258,2003-02-28,34.1,36.26,31.04,32.12,7.2379,16479800,0.47,AZN
259,2003-01-31,34.93,35.2,29.54,34.34,7.6338,19923400,0.0,AZN
260,2002-12-31,37.87,38.47,34.82,35.09,7.8006,17763200,0.0,AZN
261,2002-11-29,36.6,40.48,34.19,37.84,8.4119,21465400,0.0,AZN
262,2002-10-31,31.4,38.15,30.16,37.55,8.3474,24705100,0.0,AZN
263,2002-09-30,30.5,32.15,28.0,30.57,6.7958,27824000,0.0,AZN
264,2002-08-30,36.3,38.0,28.3,29.15,6.4801,36096800,0.23,AZN
265,2002-07-31,41.15,41.3,29.9,36.59,8.0729,35092300,0.0,AZN
266,2002-06-28,44.26,44.4,39.12,41.0,9.0459,22390600,0.0,AZN
267,2002-05-31,46.5,47.71,43.32,43.72,9.646,23653500,0.0,AZN
268,2002-04-30,50.33,52.04,46.55,46.55,10.2704,21204000,0.0,AZN
269,2002-03-28,51.23,52.0,48.37,49.59,10.9412,11394700,0.0,AZN
270,2002-02-28,48.0,51.75,47.15,50.98,11.2478,10165400,0.47,AZN
271,2002-01-31,46.0,47.05,43.72,46.99,10.2704,12255900,0.0,AZN
272,2001-12-31,44.8,46.95,43.68,46.6,10.1851,8020100,0.0,AZN
273,2001-11-30,46.2,48.17,44.19,45.45,9.9338,10661800,0.0,AZN
274,2001-10-31,46.0,47.5,44.15,45.11,9.8595,8660200,0.0,AZN
